id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
108,L1_DoubleIsoTau32er2p1,L1_DoubleIsoTau32er,1,1,x,TAU,BASE,slim:
109,L1_DoubleIsoTau33er2p1,L1_DoubleIsoTau33er,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
110,L1_DoubleIsoTau34er2p1,L1_DoubleIsoTau34er,1,1,x,TAU,BASE,slim:
111,L1_DoubleIsoTau35er2p1,L1_DoubleIsoTau35er,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
112,L1_DoubleIsoTau36er2p1,L1_DoubleIsoTau36er,1,1,x,TAU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
113,L1_DoubleIsoTau38er2p1,L1_DoubleIsoTau38er,1,1,x,TAU,BASE,tau
120,L1_SingleJet16,,0,0,x,JET,BASE,Circulating
121,L1_SingleJet20,,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
122,L1_SingleJet35,,0,0,x,JET,BASE,JetMET POG:
123,L1_SingleJet60,,0,0,x,JET,BASE,JetMET POG:
124,L1_SingleJet90,,0,0,x,JET,BASE,JetMET POG:
125,L1_SingleJet120,,0,0,x,JET,BASE,JetMET POG:
126,L1_SingleJet140,,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
127,L1_SingleJet150,,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
128,L1_SingleJet160,,0,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
129,L1_SingleJet170,,0,1,x,JET,BASE,JetMET POG:
130,L1_SingleJet180,,1,1,x,JET,BASE,slim:
131,L1_SingleJet200,,1,1,x,JET,BASE,JetMET POG:
140,L1_DoubleJet40er3p0,L1_DoubleJetC40,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
141,L1_DoubleJet50er3p0,L1_DoubleJetC50,0,0,x,JET,BASE,Cosmics:
142,L1_DoubleJet60er3p0,L1_DoubleJetC60,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
143,L1_DoubleJet80er3p0,L1_DoubleJetC80,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
144,L1_DoubleJet100er3p0,L1_DoubleJetC100,0,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
145,L1_DoubleJet112er3p0,L1_DoubleJetC112,1,1,x,JET,BASE,slim:
146,L1_DoubleJet120er3p0,L1_DoubleJetC120,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
147,L1_TripleJet_84_68_48_VBF,,0,0,x,JET,BASE,Circulating
148,L1_TripleJet_88_72_56_VBF,,0,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
149,L1_TripleJet_92_76_64_VBF,,1,1,x,JET,BASE,Circulating
150,L1_QuadJet40er3p0,L1_QuadJetC40,0,0,x,JET,BASE,Circulating
151,L1_QuadJet50er3p0,L1_QuadJetC50,0,1,x,JET,BASE,slim:
152,L1_QuadJet60er3p0,L1_QuadJetC60,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
160,L1_HTT120er,L1_HTT120,0,0,x,SSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
161,L1_HTT160er,L1_HTT160,0,0,x,SSUM,BASE,Cosmics:
162,L1_HTT200er,L1_HTT200,0,0,x,SSUM,BASE,Cosmics:
163,L1_HTT220er,L1_HTT220,0,0,x,SSUM,BASE,Cosmics:
164,L1_HTT240er,L1_HTT240,0,0,x,SSUM,BASE,Cosmics:
165,L1_HTT255er,L1_HTT255,0,0,x,SSUM,BASE,Cosmics:
166,L1_HTT270er,L1_HTT270,0,0,x,SSUM,BASE,Cosmics:
167,L1_HTT280er,L1_HTT280,0,0,x,SSUM,BASE,Cosmics:
168,L1_HTT300er,L1_HTT300,0,0,x,SSUM,BASE,"slim: * eta-restricted is the default for 2017, etaMax = 26 (jet eta .lt. 2.5)"
169,L1_HTT320er,L1_HTT320,0,1,x,SSUM,BASE,Cosmics:
170,L1_HTT340er,L1_HTT340,0,1,x,SSUM,BASE,slim:
171,L1_HTT380er,L1_HTT380,1,1,x,SSUM,BASE,slim:
172,L1_HTT400er,L1_HTT400,1,1,x,SSUM,BASE,Susy:
173,L1_HTT450er,L1_HTT450,1,1,x,SSUM,BASE,Susy:
174,L1_HTT500er,L1_HTT500,1,1,x,SSUM,BASE,Susy:
180,L1_ETM30cer,L1_ETM30,0,0,x,VSUM,BASE,Circulating
181,L1_ETM40cer,L1_ETM40,0,0,x,VSUM,BASE,Circulating
182,L1_ETM50cer,L1_ETM50,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
183,L1_ETM60cer,L1_ETM60,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
184,L1_ETM70cer,L1_ETM70,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
185,L1_ETM75cer,L1_ETM75,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
186,L1_ETM80cer,L1_ETM80,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
